date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2010-01-02,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0
2010-01-03,0,0,0,0,0,0,0,0,0,0,0,3,0,1,8,0,0
2010-01-04,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
2010-01-05,0,0,0,0,0,0,0,0,0,0,2,0,9,5,0,0,0
2010-01-06,0,0,3,0,0,0,0,0,0,0,0,0,0,9,3,0,0
2010-01-07,0,2,0,0,0,0,0,0,0,0,0,3,4,12,0,0,0
2010-01-08,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
2010-01-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-10,0,0,0,2,0,0,0,0,0,0,0,0,0,4,3,0,0
2010-01-11,0,0,1,0,0,0,0,0,0,0,1,4,2,2,0,0,0
2010-01-12,0,0,3,0,0,0,0,0,0,0,1,0,0,7,0,0,0
2010-01-13,0,0,1,0,0,0,0,0,0,3,2,1,0,9,4,0,0
2010-01-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-15,0,0,4,0,0,0,0,0,0,0,0,0,2,1,8,0,0
2010-01-16,0,0,0,0,0,0,0,1,0,0,3,6,1,0,6,0,0
2010-01-17,0,0,0,0,0,0,0,0,0,1,5,2,1,1,4,0,0
2010-01-18,0,0,0,0,0,0,0,0,0,1,0,1,1,14,0,0,0
2010-01-19,0,0,0,0,0,0,0,0,0,0,0,4,3,13,0,0,0
2010-01-20,0,0,0,0,0,0,0,0,1,0,3,4,3,2,0,0,0
2010-01-21,0,0,0,0,0,0,0,0,0,0,1,4,0,5,4,0,0
2010-01-22,0,0,0,0,0,0,0,0,0,0,0,0,2,8,5,0,0
2010-01-23,0,0,0,0,0,0,0,0,0,0,0,1,1,10,2,0,0
2010-01-24,0,0,0,0,0,0,0,0,0,0,0,4,5,7,8,0,0
