date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2010-03-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-20,0,0,0,0,24,5,11,4,3,1,3,2,2,39,0,5,0
2010-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-23,0,0,0,0,13,12,0,11,5,1,0,0,0,0,0,0,0
2010-03-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-25,0,0,0,0,6,5,14,4,2,0,0,0,0,1,0,0,0
2010-03-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-27,0,1,1,0,6,15,16,6,1,4,0,0,0,0,0,0,0
2010-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-03-30,0,0,0,13,3,0,11,8,1,0,0,0,0,0,0,0,0
2010-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,0,1,0,2,18,7,10,1,3,0,0,0,0,0,0,1,0
2010-04-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-03,0,0,0,7,4,16,2,5,1,0,0,0,0,0,0,0,0
2010-04-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-06,0,0,0,0,6,0,0,1,10,0,0,0,0,0,0,0,0
2010-04-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-08,0,0,24,0,8,3,0,0,9,0,0,0,0,0,0,0,0
2010-04-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-10,0,0,0,2,6,12,7,1,4,4,0,0,0,0,0,0,2
2010-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-13,0,0,0,19,2,8,0,0,4,0,1,1,0,10,1,0,0
2010-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-15,1,0,2,1,5,7,4,7,4,0,0,0,0,5,0,4,0
2010-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-17,0,0,0,0,9,1,2,2,3,1,0,0,0,0,0,0,0
2010-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-20,0,0,0,16,9,1,1,1,10,4,1,0,0,3,0,0,0
2010-04-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-22,0,0,1,0,8,2,9,4,0,0,1,3,3,2,0,0,0
2010-04-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-24,0,0,0,0,2,14,1,0,0,10,0,0,0,1,7,0,0
2010-04-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-27,0,1,0,0,9,11,10,1,4,0,4,10,0,8,2,1,0
2010-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-29,0,0,0,4,0,4,0,4,6,0,11,8,0,4,0,0,0
2010-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-01,0,0,0,0,0,1,13,11,5,0,0,1,0,0,0,0,0
2010-05-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-04,0,0,0,0,0,2,9,2,2,0,0,0,0,0,0,1,0
2010-05-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-06,0,0,0,21,0,0,10,0,11,4,4,0,0,0,0,0,1
2010-05-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-08,0,0,0,0,0,0,12,8,7,0,0,0,0,0,0,1,0
2010-05-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
